id	motif	correlation	p-val
MA0819.1	CLOCK	-0.028917483277619067	0.6616213679065966
MA0730.1	RARA(var.2)	-0.07308568972907813	1.5643438679479256
MA0742.1	Klf12	-0.02074728319048909	0.21449152971307528
MA0482.2	GATA4	-0.04310836791992251	0.924701478323755
MA0099.1	JUN::FOS	-0.009922622084617803	0.16707395594707442
MA0102.1	Cebpa	-0.05851843124628081	1.6831307390636496
MA0108.1	TBP	0.012744550645352433	0.1300399878496826
MA0498.2	MEIS1	-0.003004385352134562	0.060034042709465385
MA1100.2	ASCL1	-0.025057014763356013	0.8276198684810941
MA0812.1	TFAP2B(var.2)	-0.037641549907625145	1.0649105976018225
MA0853.1	Alx4	-0.06476631787093466	1.1451374959086884
MA0033.2	FOXL1	0.016645772099494638	0.27042604280412796
MA0805.1	TBX1	0.017307401627301763	0.2829656636619206
MA0075.1	Prrx2	0.030495429158210977	0.4308326184343191
MA0912.1	Hoxd3	-0.04944457480683954	0.7845841110882562
MA1519.1	LHX5	-0.05298017060756711	0.7204325712371893
MA0694.1	ZBTB7B	-0.056785496403462074	1.1588880583894374
MA0491.1	JUND	-0.005169235694454778	0.06704720280106258
MA0148.2	FOXA1	0.012301921337842713	0.20351586797163604
MA0475.2	FLI1	-0.005910176590084853	0.07558083944564073
MA0100.2	Myb	0.013098721787333551	0.26455937721393363
MA0670.1	NFIA	-0.03250351935625089	0.4677347079623501
MA1635.1	BHLHE22(var.2)	-0.006255129158496718	0.16302532899939529
MA1573.1	THAP11	-0.003149488570168541	0.022433351116727535
MA0765.1	ETV5	0.032503593206406375	0.6588286414577951
MA0877.2	BARHL1	-0.051479651093483125	1.8781936591000543
MA0141.2	Esrrb	-0.05157930447161085	1.4085080387644384
MA0104.1	Mycn	-0.0010974251478910481	0.01945674092445619
MA1587.1	ZNF135	0.03998346091434405	0.5551693610910351
MA0512.1	Rxra	-0.06537945875525356	2.5333311065115036
MA0119.1	NFIC::TLX1	-0.019530049651861694	0.22809215159236235
MA0904.1	Hoxb5	-0.00030761276930592953	0.0025115253753604234
MA0597.1	THAP1	0.03998567247390734	1.1263001481511559
MA0471.1	E2F6	0.03559453563392147	0.5239289560081934
MA0844.1	XBP1	-0.022468829745426966	0.2606198272269664
MA1466.1	ATF6	0.05233821937069372	0.6434360701684366
MA0895.1	HMBOX1	-0.02606045168638214	0.6583596608589369
MA0679.1	ONECUT1	0.015663467215373955	0.17764519046447325
MA0051.1	IRF2	-0.004657109320163703	0.16643847115191404
MA0059.1	MAX::MYC	-0.03208398604020533	0.7838944082876951
MA0162.2	EGR1	-0.02442810232006013	0.4496110655382374
MA0761.1	ETV1	0.012177233338355953	0.19030502346126257
MA0796.1	TGIF1	-0.009620740503421812	0.13501054717209285
MA0090.1	TEAD1	-0.06709037709236074	1.1847438720812133
MA0037.3	GATA3	-0.016381666302680994	0.23751145098342014
MA0145.3	TFCP2	-0.0289514436833554	0.6470452061268447
